Target,R2,RMSE
voltage_fall_time_pulse2,0.9988908981271124,2.2862804270277015e-10
voltage_fall_time_pulse1,0.9988567276066452,2.324008909550135e-10
current_fall_time_pulse2,0.9973687969056272,6.034028282047122e-10
current_fall_time_pulse1,0.9971208198861036,6.331241868881043e-10
ringing_frequency_MHz,0.9953324035908078,2.256086077981553
voltage_rise_time_pulse1,0.9899166018893485,4.068334775438701e-10
undershoot_pulse_1,0.9830504053415894,1.7837563953738942
undershoot_pulse_2,0.9828224771669773,1.7967122709474674
overshoot_pulse_1,0.9665269544183444,2.237598262731565
current_rise_time_pulse1,0.9363716006799021,1.2395107238713813e-08
overshoot_pulse_2,0.935248399240183,6.435629144063952
voltage_rise_time_pulse2,0.9211944469495275,1.1304599967043156e-09
current_rise_time_pulse2,0.9127214513427789,7.420114601818567e-09
