Maximum Ratings (T = 25 °C unless otherwise specified),,,,,,,,
,C2M0080120D,TO-247-3,,,,,,
,,,,,,,,
Maximum Ratings (T = 25 °C unless otherwise specified),,,,,,,,
,V DSmax,Drain - Source Voltage,1200,V,"V = 0 V, I = 100 μA GS D",,,
,V GSmax,Gate - Source Voltage,-10/+25,V,Absolute maximum values,,,
,V GSop,Gate - Source Voltage,-5/+20,V,Recommended operational values,,,
,I D,Continuous Drain Current,36,A,"V = 20 V, T = 25°C GS C",Fig. 19,,
,,,24,,"V = 20 V, T = 100°C GS C",,,
,I D(pulse),Pulsed Drain Current,80,A,Pulse width t limited by T P jmax,Fig. 22,,
,P D,Power Dissipation,192,W,"T =25°C, T = 150 °C C J",Fig. 20,,
,"T , T J stg",Operating Junction and Storage Temperature,-55 to +150,°C,,,,
,T L,Solder Temperature,260,°C,1.6mm (0.063”) from case for 10s,,,
,M d,Mounting Torque,1 8.8,Nm lbf-in,M3 or 6-32 screw,,,
,,,,,,,,
Electrical Characteristics (T = 25°C unless otherwise specified),,,,,,,,
,V (BR)DSS,Drain-Source Breakdown Voltage,1200,,,V,"V = 0 V, I = 100 μA GS D",
,V GS(th),Gate Threshold Voltage,2.0,2.9,4,V,"V = V , I = 5 mA DS GS D",Fig. 11
,,,,2.4,,V,"V = V , I = 5 mA, T = 150ºC DS GS D J",
,I DSS,Zero Gate Voltage Drain Current,,1,100,μA,"V = 1200 V, V = 0 V DS GS",
,I GSS,Gate-Source Leakage Current,,,250,nA,"V = 20 V, V = 0 V GS DS",
,R DS(on),Drain-Source On-State Resistance,,80,98,mΩ,"V = 20 V, I = 20 A GS D","Fig. 4, 5, 6"
,,,,144,,,"V = 20 V, I = 20A, T = 150ºC GS D J",
,g fs,Transconductance,,10,,S,"V = 20 V, I = 20 A DS DS",Fig. 7
,,,,9,,,"V = 20 V, I = 20 A, T = 150ºC DS DS J",
,C iss,Input Capacitance,,1130,,pF,V = 0 V GS V = 1000 V DS f = 1 MHz VAC = 25 mV,"Fig. 17, 18"
,C oss,Output Capacitance,,92,,,,
,C rss,Reverse Transfer Capacitance,,7.5,,,,
,E oss,C Stored Energy oss,,50,,μJ,,Fig. 16
,E AS,"Avalanche Energy, Single Pluse",,1,,J,"I = 20A, V = 50V D DD",Fig. 29
,E ON,Turn-On Switching Energy,,523,,μJ,"V = 800 V, V = -5/20 V, I = 20A, R DS GS D G(ext) = 2.5Ω, L= 156 μH",Fig. 25
,E OFF,Turn Off Switching Energy,,72,,,,
,t d(on),Turn-On Delay Time,,15,,ns,"V = 800 V, V = -5/20 V DD GS I = 20 A, R = 2.5 Ω, D G(ext) R = 40 Ω, Timing relative to V L DS Per IEC60747-8-4 pg 83",Fig. 27
,t r,Rise Time,,22,,,,
,t d(off),Turn-Off Delay Time,,24,,,,
,t f,Fall Time,,14,,,,
,R G(int),Internal Gate Resistance,,3.9,,Ω,"f = 1 MHz, V =25 mV AC",
,Q gs,Gate to Source Charge,,17,,nC,"V = 800 V, V = -5/20 V DS GS I = 20 A D Per IEC60747-8-4 pg 21",Fig. 12
,Q gd,Gate to Drain Charge,,29,,,,
,Q g,Total Gate Charge,,71,,,,
,,,,,,,,
Electrical Characteristics (T = 25°C unless otherwise specified),,,,,,,,
,V SD,Diode Forward Voltage,4.3,,V,"V = - 5 V, I = 10 A GS SD","Fig. 8, 9, 10",
,,,3.8,,V,"V = - 5 V, I = 10 A, T = 150 °C GS SD J",,
,I S,Continuous Diode Forward Current,,36,A,T = 25°C C,Note 1,
,t rr,Reverse Recover time,24,,ns,"V = - 5 V, I = 20 A, V = 800 V GS SD R dif/dt = 1950 A/µs",Note 1,
,Q rr,Reverse Recovery Charge,152,,nC,,,
,I rrm,Peak Reverse Recovery Current,10,,A,,,
,,,,,,,,
Electrical Characteristics (T = 25°C unless otherwise specified),,,,,,,,
,RθJC,Thermal Resistance from Junction to Case,0.60,0.65,°C/W,,Fig. 21,
,RθJA,Thermal Resistance From Junction to Ambient,,40,,,,
,,,,,,,,
