Maximum Ratings (T = 25 °C unless otherwise specified),,,,,,,,,
,C2M1000170D,TO-247-3,C2M1000170,,,,,,
,,,,,,,,,
Maximum Ratings (T = 25 °C unless otherwise specified),,,,,,,,,
,V DSmax,Drain - Source Voltage,1700,V,"V = 0 V, I = 100 μA GS D",,,,
,V GSmax,Gate - Source Voltage,-10/+25,V,Absolute maximum values,,,,
,V GSop,Gate - Source Voltage,-5/+20,V,Recommended operational values,,,,
,I D,Continuous Drain Current,5.0,A,"V = 20 V, T = 25°C GS C",Fig. 19,,,
,,,3.5,,"V = 20 V, T = 100°C GS C",,,,
,I D(pulse),Pulsed Drain Current,15,A,Pulse width t limited by T P jmax,Fig. 22,,,
,P D,Power Dissipation,69,W,"T =25°C, T = 150 °C C J",Fig. 20,,,
,"T , T J stg",Operating Junction and Storage Temperature,-55 to +150,°C,,,,,
,T L,Solder Temperature,260,°C,1.6mm (0.063”) from case for 10s,,,,
,M d,Mounting Torque,1 8.8,Nm lbf-in,M3 or 6-32 screw,,,,
,,,,,,,,,
Electrical Characteristics (T = 25°C unless otherwise specified),,,,,,,,,
,,V (BR)DSS,Drain-Source Breakdown Voltage,1700,,,V,"V = 0 V, I = 100 μA GS D",
,,V GS(th),Gate Threshold Voltage,2.0,2.8,4,V,"V = V , I = 0.5 mA DS GS D",Fig. 11
,,,,,2.4,,V,"V = V I = 0.5 mA, T = 150 °C DS GS, D J",
,,I DSS,Zero Gate Voltage Drain Current,,1,100,μA,"V = 1.7 kV, V = 0 V DS GS",
,,I GSS,Gate-Source Leakage Current,,,250,nA,"V = 20 V, V = 0 V GS DS",
,,R DS(on),Drain-Source On-State Resistance,,0.80,1.4,Ω,"V = 20 V, I = 2 A GS D","Fig. 4,5,6"
,,,,,1.4,,,"V = 20 V, I = 2 A, T = 150 °C GS D J",
,,g fs,Transconductance,,1.04,,S,"V = 20 V, I = 2 A DS DS",Fig. 7
,,,,,1.09,,,"V = 20 V, I = 2 A, T = 150 °C DS DS J",
,,C iss,Input Capacitance,,215,,pF,V = 0 V GS V = 1000 V DS f = 1 MHz VAC = 25 mV,"Fig. 17,18"
,,C oss,Output Capacitance,,19,,,,
,,C rss,Reverse Transfer Capacitance,,2.2,,,,
,,E oss,C Stored Energy oss,,10.2,,μJ,,Fig 16
,,E ON,Turn-On Switching Energy,,89,,μJ,"V = 1.2 kV, V = -5/20 V DS GS I = 2 A, R = 2.5 Ω, D G(ext) L= 1478 μH, T = 150 °C J",Fig. 26
,,E OFF,Turn Off Switching Energy,,14,,,,
,,t d(on),Turn-On Delay Time,,5,,ns,"V = 1.2 kV, V = -5/20 V DD GS I = 2 A, R = 2.5 Ω, R = 600 Ω D G(ext) L Timing relative to V DS Per IEC60747-8-4 pg 83",Fig. 27
,,t r,Rise Time,,19,,,,
,,t d(off),Turn-Off Delay Time,,14,,,,
,,t f,Fall Time,,63,,,,
,,R G(int),Internal Gate Resistance,,24.8,,Ω,"f = 1 MHz, V =25 mV AC",
,,Q gs,Gate to Source Charge,,4,,nC,"V = 1.2 kV, V = -5/20 V DS GS I = 2 A D Per IEC60747-8-4 pg 21",Fig. 12
,,Q gd,Gate to Drain Charge,,12,,,,
,,Q g,Total Gate Charge,,22,,,,
,,,,,,,,,
Electrical Characteristics (T = 25°C unless otherwise specified),,,,,,,,,
,V SD,Diode Forward Voltage,3.8,,V,"V = - 5 V, I = 1 A, T= 25 °C GS SD J","Fig. 8, 9, 10",,
,,,3.3,,V,"V = - 5 V, I = 1 A, T = 150 °C GS SD J",,,
,I S,Continuous Diode Forward Current,,4,A,T= 25 °C C,Note 1,,
,t rr,Reverse Recovery Time,30,,ns,"V = - 5 V, I = 2 A T= 150 °C GS SD J V = 1.2 kV R dif/dt = 1135 A/µs",Note 1,,
,Q rr,Reverse Recovery Charge,31,,nC,,,,
,I rrm,Peak Reverse Recovery Current,3,,A,,,,
,,,,,,,,,
Electrical Characteristics (T = 25°C unless otherwise specified),,,,,,,,,
,RθJC,Thermal Resistance from Junction to Case,1.7,1.8,°C/W,,Fig. 21,,
,RθJA,Thermal Resistance from Junction to Ambient,,40,,,,,
,,,,,,,,,
